Profile_Index,Valid_Count,Gradient_RMSE_dBZ
762,16,4.125168
763,15,2.0952044
764,10,2.1765652
765,11,1.9706377
766,11,2.4320157
767,28,4.628769
768,28,6.122225
769,32,4.4126925
770,43,3.310494
771,56,4.0226855
772,56,3.976658
773,27,6.4897
774,22,7.552732
775,25,7.511903
776,35,5.2016454
777,31,5.973168
778,17,10.095154
779,13,4.360346
780,8,4.2081933
781,8,4.8141694
782,6,4.248013
783,3,1.8143675
784,8,6.128317
785,9,2.0610497
786,10,5.2026505
787,9,2.3707955
788,6,3.2288787
789,4,4.749331
790,2,
791,2,
792,3,3.0256207
793,11,4.2013187
794,11,3.6422784
795,8,3.8802104
796,6,2.004726
797,0,
798,5,3.9567149
799,6,2.9381762
800,6,3.264474
801,3,3.9324155
802,3,7.3863745
803,5,4.7138486
804,1,
805,3,3.2204075
806,4,2.4015281
807,7,7.6807823
808,4,7.1521435
809,3,3.899099
810,5,5.8310204
811,5,5.1026998
812,2,
813,5,5.0053825
814,5,4.1402245
815,7,4.661585
816,8,7.757626
817,10,8.86763
818,7,7.8719373
819,4,4.8993783
820,6,7.347798
821,2,
822,6,6.650353
823,5,7.7512693
824,5,5.485028
825,1,
826,4,7.053776
827,5,7.1601815
828,7,4.1825266
829,3,3.9533348
830,4,3.0340111
831,3,2.650869
832,4,6.1179733
833,5,3.8568456
834,1,
835,1,
836,2,
837,4,4.291311
838,5,5.6837125
839,8,6.9521327
840,3,0.63933104
841,3,2.4081676
842,2,
843,0,
844,0,
845,2,
846,5,5.1637983
847,3,2.7139556
848,5,4.5156026
849,2,
850,2,
851,2,
852,2,
853,3,3.0309432
854,2,
855,6,6.503159
856,7,6.105837
857,7,4.835259
858,6,4.177949
859,5,3.2364957
860,4,4.289988
861,4,4.529757
862,3,0.8801687
863,1,
864,2,
865,2,
866,5,5.29079
867,1,
868,5,4.3753953
869,4,4.372945
870,1,
871,6,6.457665
872,6,6.959992
873,4,4.1619525
874,1,
875,4,2.8398964
876,4,4.1625414
877,1,
878,1,
879,1,
880,0,
881,1,
882,0,
883,0,
884,2,
885,3,2.4493828
886,1,
887,5,3.9145656
888,5,1.7067684
889,4,4.9097033
890,4,4.2664714
891,5,4.191506
892,2,
893,7,6.349315
894,5,5.6421304
895,5,2.9973922
896,6,3.930815
897,6,5.0647893
898,6,3.57482
899,6,5.3856215
900,6,4.835901
901,4,2.7214513
902,1,
903,3,1.1575239
904,3,4.0743465
905,3,2.9594467
906,4,6.1265306
907,5,4.4081774
908,3,0.5452129
909,3,3.5435202
910,4,4.681732
911,2,
912,4,2.7285013
913,6,3.3010879
914,5,3.6324935
915,1,
916,5,2.2674556
917,4,2.052265
918,0,
919,0,
920,4,1.9873902
921,2,
922,2,
923,7,4.5470257
924,8,3.6569383
925,3,3.5689418
926,20,3.9237347
927,23,5.0659475
928,28,6.252844
929,25,3.1507664
930,27,2.2194924
931,32,3.1029794
932,36,4.0056987
933,33,4.265617
934,38,3.0540733
935,39,5.1838083
936,38,4.4042864
937,38,4.0625734
938,37,2.7164435
939,37,3.0379417
940,37,2.786708
941,36,2.6735268
942,33,2.6952043
943,28,4.4836245
944,33,2.7686336
945,37,3.0152702
946,39,2.8237884
947,34,3.9288638
948,37,3.480386
949,32,3.1637878
950,31,2.5634723
951,29,2.3733187
952,30,2.011157
953,20,2.5252712
954,23,2.7531219
955,29,2.8899653
956,33,2.034054
957,34,3.4220064
958,36,3.560149
959,30,3.317567
960,34,2.3863723
961,34,2.8644955
962,34,3.022054
963,33,2.3128912
964,33,2.0179446
965,33,1.7085013
966,34,2.3189013
967,37,3.337974
968,39,2.7048886
969,39,2.4521773
970,39,2.244734
971,39,1.9556785
972,42,2.0228918
973,42,2.0276487
974,42,1.8225496
975,40,1.9072319
976,43,1.8591304
977,42,1.8865055
978,38,2.10171
979,27,1.8396176
980,33,1.715656
981,27,1.6440395
982,29,1.1688496
983,29,3.1967635
984,29,3.5752015
985,29,4.1330023
986,31,3.9858809
987,31,3.5778103
988,26,3.0380678
989,30,3.3041968
990,25,3.1447778
991,23,2.807578
992,24,2.7470798
993,21,2.0927222
994,20,2.4735396
995,18,2.986615
996,21,6.083117
997,19,3.912612
998,22,4.6664505
999,7,3.9039824
1000,7,3.409882
1001,8,4.342918
1002,3,4.868411
1003,3,2.1525319
1004,2,
1005,2,
1006,1,
1007,1,
1008,8,3.3269908
1009,10,4.473527
1010,8,4.0500836
1011,7,4.3022137
1012,16,4.1428504
1013,9,2.2561405
1014,21,6.737789
1015,19,7.7598166
1016,18,6.4301567
1017,13,2.8702993
1018,7,4.816878
1019,11,5.696194
1020,12,4.108053
1021,19,4.560854
1022,15,4.5062723
1023,9,4.6852384
1024,6,3.674414
1025,4,1.8785263
1026,5,4.0002737
1027,5,2.5333688
1028,6,4.398555
1029,11,5.61132
1030,5,5.1446676
1031,9,3.6951857
1032,11,7.404129
1033,13,4.1066265
1034,5,3.9283812
1035,6,9.161329
1036,3,11.675536
1037,6,5.05352
1038,7,6.7230535
1039,7,8.163887
1040,4,4.9657564
1041,5,10.278638
1042,5,3.2779799
1043,6,7.6400833
1044,5,6.9855027
1045,2,
1046,3,6.516914
1047,4,4.322031
1048,7,3.6763868
1049,4,4.0191684
1050,6,3.9540892
1051,2,
1052,3,5.3301826
1053,5,5.7019815
1054,4,4.4113283
1055,2,
1056,0,
1057,0,
1058,0,
1059,1,
1060,1,
1061,1,
1062,1,
1063,1,
1064,1,
1065,3,0.84024686
1066,0,
1067,0,
1068,0,
1069,0,
1070,1,
1071,7,1.1058108
1072,5,0.38605344
1073,17,2.8482065
1074,11,4.881226
1075,27,3.939913
1076,23,1.3732476
1077,22,4.6526914
1078,11,4.981785
1079,18,4.094584
1080,6,5.579253
1081,3,3.1504943
1082,3,3.434728
1083,5,3.662863
1084,2,
1085,1,
1086,6,5.5173664
1087,8,4.847843
1088,8,5.127846
1089,28,3.0447476
1090,21,3.524091
1091,35,3.4117117
1092,34,3.6401348
1093,27,4.435652
1094,27,4.219653
1095,15,3.689489
1096,29,3.292431
1097,27,3.720019
1098,16,3.2481577
1099,19,2.9089286
1100,16,3.0359728
1101,18,2.8149
1102,31,4.188028
1103,34,4.010803
1104,32,4.1940746
1105,35,4.5951376
1106,38,3.4558256
1107,27,2.9279325
1108,23,4.008643
1109,25,5.4038844
1110,22,4.590105
1111,32,3.118405
1112,31,2.5090747
1113,30,3.5908132
1114,18,3.9399953
1115,17,5.2568526
1116,14,3.3621764
1117,16,4.3704505
1118,18,3.998569
1119,15,3.6871538
1120,19,2.9650824
1121,15,3.5276732
1122,20,5.086599
1123,18,3.0090384
1124,10,9.370524
1125,18,5.324213
1126,28,3.6745734
1127,34,5.0242505
1128,36,4.2008524
1129,39,1.635851
1130,40,1.9976912
1131,41,1.2675779
1132,40,1.1485403
1133,40,1.0944533
1134,40,1.495657
1135,40,1.3967259
1136,40,1.2138647
1137,40,1.2997001
1138,40,1.2595807
1139,38,1.2289482
1140,36,1.3189574
1141,38,1.2035364
1142,38,1.5271684
1143,39,1.349978
1144,41,1.3342108
1145,38,1.3193226
1146,38,1.3999811
1147,40,1.6703124
1148,40,1.2299218
1149,41,1.4664865
1150,40,1.0972922
1151,41,1.0260518
1152,41,1.1894716
1153,42,0.9138251
1154,40,1.0213941
1155,42,0.69324857
1156,41,0.8363326
1157,43,0.8152281
1158,40,0.7979447
1159,42,0.9362358
1160,41,0.90847176
1161,41,1.0980071
1162,42,1.0695419
1163,40,1.1100644
1164,40,0.9547457
1165,42,0.8907537
1166,42,1.0440942
1167,40,0.7210666
1168,40,0.99536246
1169,41,0.70860887
1170,41,1.0564636
1171,40,0.74389035
1172,42,0.89445865
1173,42,0.5787617
1174,40,0.7500963
1175,41,0.92357725
1176,40,1.1291621
1177,41,0.88113886
1178,42,1.0769911
1179,42,1.0496259
1180,42,1.0459077
1181,42,1.0180105
1182,41,0.8980076
1183,42,1.149069
1184,42,1.0172381
1185,42,1.05509
1186,42,1.5931399
1187,41,1.25147
1188,42,1.6014916
1189,39,1.776014
1190,37,2.444133
1191,37,2.393988
1192,38,2.875602
1193,39,3.3936312
1194,38,2.7631745
1195,35,3.2722068
1196,33,3.5540895
1197,31,3.6642756
